Type,Price,Bedrooms,Is_Equiped_Kitchen,State,Facades,Swim_pool,Municipality,Region,TX_MUNTY_DESCR_NL,Average_Income,Bedroom_Bin_Code,Log_Living_Area,Sqrt_Total_Outdoor_Area
0,179000,2,1,5,2,1,9,2,232,39880.409930547525,2,4.584967478670572,4.47213595499958
0,179000,2,1,5,2,1,9,2,232,39880.409930547525,2,4.584967478670572,4.47213595499958
1,249000,2,1,2,3,0,2,2,232,25779.89450284783,2,5.017279836814924,4.614831870157771
1,319000,3,0,2,0,0,7,1,232,30706.557562981663,2,4.820281565605037,0.0
1,729000,4,1,2,0,0,0,1,45,40999.13080938098,3,5.407171771460119,4.614831870157771
0,232000,1,1,6,0,0,7,1,107,29901.88590354923,1,4.276666119016055,0.0
0,215000,3,0,1,0,0,7,1,232,30706.557562981663,2,4.61512051684126,0.0
1,309000,4,1,6,2,1,7,1,198,26728.266736404294,3,5.4510384535657,13.038404810405298
1,250950,3,0,3,2,0,10,1,232,30270.018399760407,2,4.976733742420574,4.614831870157771
1,189000,5,1,4,0,0,7,1,198,26728.266736404294,3,5.707110264748875,4.614831870157771
0,229000,3,1,6,0,0,10,1,40,34593.09106632186,2,4.51085950651685,4.614831870157771
0,349000,3,0,1,0,0,10,1,118,30885.198297666273,2,4.74493212836325,4.614831870157771
0,445126,2,0,2,0,0,10,1,232,30270.018399760407,2,4.919980925828125,11.916375287812984
1,795000,2,0,3,0,0,10,1,58,31549.981281934695,2,4.820281565605037,4.614831870157771
1,925000,3,1,1,4,0,10,1,58,31549.981281934695,2,5.225746673713202,30.59896523070386
1,495000,4,1,1,4,1,2,2,232,25779.89450284783,3,5.262690188904886,27.60434748368452
1,559000,4,1,3,3,0,8,1,37,40464.27932078688,3,5.062595033026967,4.614831870157771
1,599000,4,0,5,2,0,8,1,232,36107.18368952242,3,5.313205979041787,12.806248474865697
1,120000,2,0,4,3,0,4,2,232,29112.009816532005,2,4.663439094112067,42.07136793592526
0,365000,3,1,1,2,1,1,0,232,29190.307316645296,2,4.709530201312334,3.7416573867739413
0,335310,2,0,2,0,0,0,1,124,31543.31016794239,2,4.736198448394496,3.3166247903554
0,349065,2,0,2,0,0,0,1,124,31543.31016794239,2,4.770684624465665,3.3166247903554
0,499630,3,0,2,0,0,0,1,124,31543.31016794239,2,4.543294782270004,7.0710678118654755
0,301160,1,0,2,0,0,0,1,124,31543.31016794239,1,4.543294782270004,4.69041575982343
1,250000,3,1,1,0,0,10,1,58,31549.981281934695,2,4.867534450455582,0.0
0,380000,2,1,1,0,0,7,1,232,30706.557562981663,2,4.605170185988092,3.1622776601683795
0,400000,3,1,1,0,0,7,1,232,30706.557562981663,2,4.718498871295094,5.196152422706632
0,370000,2,1,1,0,0,7,1,232,30706.557562981663,2,4.61512051684126,3.1622776601683795
0,390000,2,1,1,0,0,7,1,232,30706.557562981663,2,4.574710978503383,4.0
0,355000,2,1,1,0,0,7,1,232,30706.557562981663,2,4.5217885770490405,3.7416573867739413
0,365000,3,1,1,0,0,7,1,232,30706.557562981663,2,4.624972813284271,3.605551275463989
0,355000,3,1,1,0,0,7,1,232,30706.557562981663,2,4.624972813284271,3.605551275463989
0,345000,2,0,2,0,0,1,0,9,22389.864000886755,2,4.51085950651685,3.4641016151377544
0,299000,2,1,2,3,0,0,1,123,30843.65357107409,2,4.543294782270004,3.605551275463989
1,189000,5,1,1,4,0,10,1,232,30270.018399760407,3,5.298317366548036,0.0
0,317000,3,0,3,4,0,4,2,232,29112.009816532005,2,4.48863636973214,2.0
0,329000,2,0,2,2,1,10,1,232,30270.018399760407,2,4.5217885770490405,0.0
0,329000,2,0,2,2,1,10,1,232,30270.018399760407,2,4.5217885770490405,0.0
0,245000,2,1,1,2,0,0,1,232,31358.121710453855,2,4.553876891600541,3.872983346207417
0,214000,2,1,1,0,0,0,1,232,31358.121710453855,2,4.2626798770413155,0.0
1,399000,3,1,2,3,0,6,2,232,27685.1392926092,2,4.897839799950911,0.0
1,360000,3,1,2,0,0,6,2,232,27685.1392926092,2,5.187385805840755,0.0
1,354000,4,1,2,0,0,6,2,232,27685.1392926092,3,5.123963979403259,0.0
1,465000,2,1,5,4,1,0,1,232,31358.121710453855,2,4.804021044733257,4.614831870157771
1,430000,4,0,5,4,1,10,1,232,30270.018399760407,3,5.429345628954441,4.614831870157771
0,875000,8,0,2,2,1,7,1,107,29901.88590354923,4,5.700443573390687,0.0
0,255000,1,0,1,2,0,0,1,15,27334.969813259442,1,4.02535169073515,0.0
0,219000,2,0,2,0,0,0,1,15,27334.969813259442,2,4.51085950651685,4.614831870157771
1,387000,2,0,4,4,0,10,1,232,30270.018399760407,2,4.605170185988092,0.0
0,439000,3,1,1,4,0,10,1,232,30270.018399760407,2,4.890349128221754,2.0
1,95000,2,0,2,4,0,2,2,232,25779.89450284783,2,3.9512437185814275,3.3166247903554
1,495000,3,0,3,3,0,7,1,232,30706.557562981663,2,4.795790545596741,0.0
1,349000,3,0,3,3,0,3,1,0,31823.58151691327,2,5.736572297479192,35.156791662493895
0,339000,0,0,4,0,0,10,1,58,31549.981281934695,1,4.820281565605037,0.0
1,339000,2,0,4,4,0,10,1,58,31549.981281934695,2,4.820281565605037,4.614831870157771
0,190000,2,0,5,3,0,0,1,224,33465.647876077644,2,4.465908118654584,0.0
1,185000,3,0,4,3,0,2,2,232,25779.89450284783,2,5.303304908059076,4.614831870157771
0,399000,0,0,1,0,0,10,1,232,30270.018399760407,1,3.713572066704308,0.0
0,895000,2,0,1,0,0,10,1,232,30270.018399760407,2,4.882801922586371,0.0
1,395000,3,1,2,3,0,6,2,232,27685.1392926092,2,5.003946305945459,4.614831870157771
1,250000,3,0,3,3,1,2,2,232,25779.89450284783,2,5.14166355650266,4.242640687119285
1,249000,3,0,1,0,0,0,1,232,31358.121710453855,2,5.087596335232384,4.614831870157771
0,355000,2,1,1,0,0,7,1,232,30706.557562981663,2,4.5217885770490405,3.7416573867739413
1,249000,5,0,1,0,0,0,1,232,31358.121710453855,3,5.093750200806762,4.614831870157771
0,219000,2,1,6,0,0,0,1,15,27334.969813259442,2,4.454347296253507,2.6457513110645907
0,235000,1,1,1,0,0,7,1,107,29901.88590354923,1,4.060443010546419,3.1622776601683795
1,379000,3,0,1,3,0,0,1,212,28792.58529525781,2,5.017279836814924,4.614831870157771
1,439000,4,1,6,0,0,10,1,184,28349.56752551959,3,5.480638923341991,4.614831870157771
1,879500,4,1,2,4,0,8,1,232,36107.18368952242,3,6.0112671744041615,4.614831870157771
0,274900,2,1,2,0,0,3,1,0,31823.58151691327,2,4.477336814478207,2.8284271247461903
1,80000,2,1,5,2,1,2,2,232,25779.89450284783,2,4.51085950651685,0.0
